,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,chumikan,54.72,135.31,30.27,93,72,11.83,RU,1604009642
129,east london,-33.02,27.91,63.16,80,100,19.77,ZA,1604009643
130,turkistan,43.0,68.0,39.58,65,0,11.95,KZ,1604009644
131,tulun,54.56,100.58,25.72,95,92,0.25,RU,1604009645
132,bethel,41.37,-73.41,45.0,100,90,10.29,US,1604009646
133,kasempa,-13.46,25.83,68.58,53,20,4.12,ZM,1604009648
134,tshela,-4.98,12.93,73.42,91,60,2.39,CD,1604009649
135,alofi,-19.06,-169.92,77.0,65,40,17.22,NU,1604009650
136,merritt island,28.54,-80.67,93.2,59,1,9.28,US,1604009651
137,hamilton,39.18,-84.53,46.99,93,90,16.11,US,1604009652
138,pisco,-13.7,-76.22,69.8,64,0,19.46,PE,1604009653
139,coahuayana,18.73,-103.68,82.4,74,75,13.87,MX,1604009655
140,klaksvik,62.23,-6.59,48.2,87,96,23.04,FO,1604009656
141,souillac,-20.52,57.52,69.01,66,16,5.01,MU,1604009657
142,hami,42.8,93.45,45.77,52,100,15.66,CN,1604009471
143,bredasdorp,-34.53,20.04,50.0,66,4,6.93,ZA,1604009661
144,darhan,49.49,105.92,32.54,89,100,3.02,MN,1604009662
145,san quintin,30.48,-115.95,72.91,42,0,9.53,MX,1604009663
146,coquimbo,-29.95,-71.34,60.8,67,20,12.75,CL,1604009596
147,manado,1.49,124.85,79.03,80,2,4.25,ID,1604009665
148,komsomolskiy,40.43,71.72,39.2,51,0,4.7,UZ,1604009666
149,riyadh,24.69,46.72,64.4,34,0,1.59,SA,1604009403
150,emba,48.83,58.14,40.51,65,100,7.29,KZ,1604009669
151,angamali,10.2,76.4,78.8,94,40,2.24,IN,1604009670
152,bonthe,7.53,-12.51,78.87,84,22,5.37,SL,1604009671
153,naze,28.37,129.48,75.2,60,75,8.05,JP,1604009673
154,ribeira grande,38.52,-28.7,68.0,94,75,18.34,PT,1604009675
155,meulaboh,4.14,96.13,75.74,84,87,4.05,ID,1604009676
156,lago da pedra,-4.33,-45.17,84.97,62,100,2.37,BR,1604009677
157,shimoda,34.67,138.95,52.0,74,92,1.01,JP,1604009680
158,dubai,25.26,55.3,78.8,65,0,3.36,AE,1604009565
159,hambantota,6.12,81.12,78.17,82,100,6.44,LK,1604009683
160,tigil,57.8,158.67,33.4,90,98,4.94,RU,1604009684
161,taoudenni,22.68,-3.98,80.38,16,0,17.18,ML,1604009685
162,pevek,69.7,170.31,19.09,94,100,9.37,RU,1604009476
163,rio gallegos,-51.62,-69.22,59.0,30,0,23.04,AR,1604009687
164,tombouctou,20.0,-3.0,86.32,14,22,13.18,ML,1604009689
165,talaya,61.38,152.75,14.86,90,69,0.51,RU,1604009690
166,lodja,-3.48,23.43,69.13,97,68,1.54,CD,1604009692
167,katav-ivanovsk,54.75,58.2,28.67,95,7,4.29,RU,1604009693
168,caravelas,-17.71,-39.25,77.56,81,100,11.72,BR,1604009694
169,sao francisco,-15.95,-44.86,80.74,64,100,3.62,BR,1604009695
170,almeirim,-1.52,-52.58,88.75,53,45,5.26,BR,1604009696
171,aleksandrov gay,50.15,48.57,43.36,61,98,13.82,RU,1604009698
172,kavaratti,10.57,72.64,82.18,75,2,10.27,IN,1604009699
173,soma,39.19,27.61,57.2,93,20,4.7,TR,1604009700
174,ilulissat,69.22,-51.1,19.4,73,64,5.82,GL,1604009498
175,victoria,22.29,114.16,75.0,83,65,1.99,HK,1604009424
176,chuy,-33.7,-53.46,54.14,75,12,11.61,UY,1604009704
177,hobyo,5.35,48.53,79.52,78,99,13.47,SO,1604009705
178,katobu,-4.94,122.53,77.2,86,66,1.7,ID,1604009707
179,suntar,62.14,117.63,10.4,88,100,7.23,RU,1604009710
180,saint-pierre,-21.34,55.48,71.6,56,75,17.22,RE,1604009711
181,jak,47.14,16.58,48.2,100,73,4.76,HU,1604009712
182,sapa,5.15,120.32,81.28,80,100,8.3,PH,1604009713
183,husavik,66.04,-17.34,44.6,75,75,5.82,IS,1604009715
184,yuli,9.7,10.27,79.86,34,49,3.89,NG,1604009716
185,almenara,-16.18,-40.69,75.96,88,78,3.44,BR,1604009717
186,tuatapere,-46.13,167.68,63.0,79,100,1.99,NZ,1604009718
187,cabo san lucas,22.89,-109.91,82.99,47,5,8.05,MX,1604009566
188,amapa,1.0,-52.0,89.42,42,93,5.03,BR,1604009587
189,hollins,37.34,-79.94,78.8,57,20,17.22,US,1604009721
190,nalut,30.33,10.85,57.2,58,0,13.04,LY,1604009723
191,lompoc,34.64,-120.46,73.0,40,1,14.99,US,1604009724
192,vung tau,10.35,107.08,78.87,82,68,1.66,VN,1604009725
193,esperance,-33.87,121.9,46.4,93,1,11.41,AU,1604009431
194,coffs harbour,-30.3,153.13,68.0,72,0,5.82,AU,1604009672
195,nara,34.69,135.8,52.0,81,75,4.7,JP,1604009473
196,kadnikov,59.5,40.34,40.82,92,95,8.12,RU,1604009729
197,geraldton,-28.77,114.6,64.4,82,42,5.82,AU,1604009730
198,vestmanna,62.16,-7.17,48.2,87,93,23.04,FO,1604009732
199,lagoa,39.05,-27.98,67.95,91,100,23.53,PT,1604009733
200,buin,-33.73,-70.75,78.8,19,0,10.29,CL,1604009734
201,ponta do sol,32.67,-17.1,69.8,73,20,10.29,PT,1604009735
202,carnarvon,-24.87,113.63,71.6,88,90,8.05,AU,1604009736
203,asosa,10.07,34.53,63.63,84,8,3.49,ET,1604009737
204,miechow,50.36,20.03,46.4,87,75,10.29,PL,1604009739
205,galesong,-5.32,119.37,81.14,78,67,8.97,ID,1604009748
206,mahebourg,-20.41,57.7,69.01,67,17,5.01,MU,1604009749
207,matara,5.95,80.54,76.62,86,94,5.75,LK,1604009750
208,kaitangata,-46.28,169.85,57.99,80,100,1.99,NZ,1604009752
209,port lincoln,-34.73,135.87,56.14,77,73,24.34,AU,1604009753
210,badvel,14.75,79.05,74.73,61,95,0.72,IN,1604009755
211,andenes,69.31,16.12,35.6,64,40,12.75,NO,1604009756
212,balikpapan,-1.27,116.83,76.77,88,96,5.06,ID,1604009707
213,joao pinheiro,-17.74,-46.17,74.75,75,100,4.23,BR,1604009758
214,berezovyy,51.67,135.7,29.03,92,7,2.55,RU,1604009529
215,kloulklubed,7.04,134.26,75.2,94,75,7.29,PW,1604009761
216,faya,18.39,42.45,59.0,35,0,3.94,SA,1604009762
217,khatanga,71.97,102.5,3.83,85,0,14.92,RU,1604009763
218,vila velha,-20.33,-40.29,80.6,83,40,16.11,BR,1604009550
219,takestan,36.07,49.7,53.47,42,0,1.92,IR,1604009766
220,chupa,66.27,33.05,44.96,80,99,13.22,RU,1604009767
221,lamu,-2.27,40.9,78.8,88,40,10.4,KE,1604009769
222,jalpan,21.23,-99.48,67.69,66,97,3.29,MX,1604009770
223,sao jose da coroa grande,-8.9,-35.15,77.04,81,82,6.89,BR,1604009771
224,saquena,-4.67,-73.52,86.56,67,88,2.08,PE,1604009772
225,beidao,34.57,105.89,52.63,73,86,4.99,CN,1604009773
226,dondukovskaya,44.88,40.36,62.35,54,99,5.84,RU,1604009774
227,burns lake,54.23,-125.75,34.39,91,100,2.17,CA,1604009775
228,xochistlahuaca,16.78,-98.25,82.02,76,97,3.83,MX,1604009776
229,belmonte,-15.86,-38.88,77.0,83,75,13.87,BR,1604009777
230,ahipara,-35.17,173.17,67.03,68,100,9.82,NZ,1604009779
231,zhezkazgan,47.8,67.71,33.35,78,0,4.21,KZ,1604009780
232,teacapan,22.55,-105.75,83.21,61,1,12.1,MX,1604009781
233,dharchula,29.85,80.53,52.79,34,0,5.1,IN,1604009782
234,gao,16.64,1.64,82.51,14,0,10.8,ML,1604009783
235,loyola,37.35,-122.1,81.0,25,40,5.82,US,1604009784
236,marathon,44.9,-89.77,33.8,55,90,6.93,US,1604009785
237,auki,-8.77,160.7,77.85,86,100,4.25,SB,1604009710
238,te anau,-45.42,167.72,61.34,81,100,3.98,NZ,1604009788
239,puerto narino,-3.77,-70.38,75.2,100,75,2.24,CO,1604009789
240,mojo,8.6,39.12,55.4,62,7,10.29,ET,1604009790
241,bakchar,57.02,82.07,26.82,99,100,3.42,RU,1604009791
242,puerto escondido,15.85,-97.07,82.4,65,90,2.24,MX,1604009792
243,marzuq,14.4,46.47,64.96,30,0,2.48,YE,1604009794
244,pacific grove,36.62,-121.92,75.0,59,1,5.82,US,1604009587
245,flinders,-34.58,150.86,68.0,81,38,1.01,AU,1604009796
246,la paz,-16.5,-68.15,62.6,12,20,13.87,BO,1604009797
247,olafsvik,64.89,-23.71,43.68,83,99,17.96,IS,1604009798
